cohort,epicurus_in_sample,variant,pool,arm,n_patients,hits@5,hits@10,hits@20,hits@budget10pct,recall@20,precision@20,mrr,median_pos_rank,positive_retention_mean,all_positives_retained
gartner,False,variant_A_oracle,LARGE,genuine_prime,26,0.3076923076923077,0.4230769230769231,0.6923076923076923,0.5384615384615384,0.40384615384615385,0.03461538461538462,0.1634056550790874,35.69230769230769,,
gartner,False,variant_A_oracle,LARGE,frozen_epicurus,26,0.5384615384615384,0.6153846153846154,0.8076923076923077,0.6923076923076923,0.4743589743589743,0.040384615384615394,0.26948643771375436,26.923076923076923,,
gartner,False,variant_A_oracle,LARGE,pvac_style_prime,26,0.4615384615384615,0.6538461538461539,0.7307692307692306,0.6923076923076923,0.4230769230769231,0.03653846153846154,0.18723918142746407,27.846153846153847,,
gartner,False,variant_A_oracle,MEDIUM,genuine_prime,26,0.4030769230769231,0.703076923076923,1.056923076923077,0.5461538461538461,0.607948717948718,0.052846153846153855,0.23608844458911776,18.592307692307692,,
gartner,False,variant_A_oracle,MEDIUM,frozen_epicurus,26,0.6230769230769231,0.8353846153846153,1.2323076923076923,0.683076923076923,0.7148717948717949,0.06161538461538462,0.37921271061109146,14.276153846153845,,
gartner,False,variant_A_oracle,MEDIUM,pvac_style_prime,26,0.58,0.7707692307692308,1.2015384615384617,0.6630769230769231,0.7237179487179486,0.06007692307692308,0.29163724155765464,14.649999999999999,,
gartner,False,variant_A_oracle,SMALL,genuine_prime,26,0.64,1.0415384615384615,1.529230769230769,0.5538461538461539,0.8896153846153847,0.07769331322272499,0.3390011524711199,10.026923076923076,,
gartner,False,variant_A_oracle,SMALL,frozen_epicurus,26,0.7784615384615384,1.1923076923076925,1.6523076923076923,0.6753846153846154,0.9532051282051284,0.08384715937657114,0.47548344389991215,7.997692307692307,,
gartner,False,variant_A_oracle,SMALL,pvac_style_prime,26,0.7692307692307692,1.1984615384615385,1.6523076923076923,0.6784615384615384,0.9517948717948719,0.08384715937657114,0.42210935114870574,7.972307692307693,,
gartner,False,variant_B_gate,LARGE,genuine_prime,26,0.3076923076923077,0.38461538461538464,0.6923076923076923,0.5384615384615384,0.40384615384615385,0.03461538461538462,0.1628957483191806,35.73076923076923,1.0,True
gartner,False,variant_B_gate,LARGE,frozen_epicurus,26,0.5384615384615384,0.6153846153846154,0.8076923076923077,0.6923076923076923,0.47435897435897434,0.04038461538461539,0.26948643771375436,26.923076923076923,1.0,True
gartner,False,variant_B_gate,LARGE,pvac_style_prime,26,0.46153846153846156,0.6538461538461539,0.7307692307692307,0.6923076923076923,0.4230769230769231,0.03653846153846154,0.18078756852423825,27.903846153846153,1.0,True
gartner,False,variant_B_gate,MEDIUM,genuine_prime,26,0.3076923076923077,0.4230769230769231,0.8076923076923077,0.38461538461538464,0.5192307692307693,0.04038461538461539,0.16702330668981452,25.75,0.9166666666666666,False
gartner,False,variant_B_gate,MEDIUM,frozen_epicurus,26,0.5,0.6153846153846154,0.8461538461538461,0.5,0.5384615384615384,0.04230769230769231,0.2736238996127117,20.923076923076923,0.9166666666666666,False
gartner,False,variant_B_gate,MEDIUM,pvac_style_prime,26,0.46153846153846156,0.6538461538461539,0.8846153846153846,0.5,0.5769230769230769,0.04423076923076923,0.1793689549774082,22.115384615384617,0.9166666666666666,False
gartner,False,variant_B_gate,SMALL,genuine_prime,26,0.3076923076923077,0.5,0.7307692307692307,0.23076923076923078,0.6428571428571429,0.037430869783810966,0.17527527211711558,15.904761904761905,0.6666666666666666,False
gartner,False,variant_B_gate,SMALL,frozen_epicurus,26,0.46153846153846156,0.6153846153846154,0.8461538461538461,0.4230769230769231,0.7857142857142857,0.04320010055304173,0.24447443394811816,13.214285714285714,0.6666666666666666,False
gartner,False,variant_B_gate,SMALL,pvac_style_prime,26,0.46153846153846156,0.6538461538461539,0.9230769230769231,0.34615384615384615,0.8571428571428571,0.04704625439919558,0.15964072642448443,13.333333333333334,0.6666666666666666,False
improve,False,variant_A_oracle,LARGE,genuine_prime,61,0.47540983606557374,0.8360655737704917,1.360655737704918,1.6721311475409835,0.23681351830583433,0.0680327868852459,0.2520609331371585,95.34426229508195,,
improve,False,variant_A_oracle,LARGE,frozen_epicurus,61,0.4262295081967213,0.7704918032786884,1.2295081967213115,1.4590163934426232,0.199527557408162,0.061475409836065566,0.2027925573891741,95.65573770491805,,
improve,False,variant_A_oracle,LARGE,pvac_style_prime,61,0.4098360655737705,0.7704918032786884,1.1639344262295084,1.3442622950819672,0.19984668941726508,0.05819672131147541,0.2022981675863058,97.64754098360656,,
improve,False,variant_A_oracle,MEDIUM,genuine_prime,61,0.7718032786885247,1.2931147540983607,2.081967213114754,1.6255737704918034,0.34416789989303886,0.1040983606557377,0.3468751357821749,49.89967213114755,,
improve,False,variant_A_oracle,MEDIUM,frozen_epicurus,61,0.6944262295081969,1.157377049180328,1.9770491803278687,1.4334426229508197,0.34389787717701376,0.09885245901639345,0.29863153554616956,50.10098360655738,,
improve,False,variant_A_oracle,MEDIUM,pvac_style_prime,61,0.6557377049180328,1.1285245901639345,1.9593442622950819,1.3645901639344262,0.3333275465075243,0.0979672131147541,0.28563202333994775,51.17081967213116,,
improve,False,variant_A_oracle,SMALL,genuine_prime,61,1.142950819672131,1.8740983606557375,3.2406557377049183,1.5750819672131149,0.533357249770321,0.16203278688524592,0.45483095253303274,27.248852459016394,,
improve,False,variant_A_oracle,SMALL,frozen_epicurus,61,1.0314754098360654,1.7914754098360655,3.214426229508197,1.439344262295082,0.5370743469666284,0.16072131147540986,0.4145499761188081,27.32426229508196,,
improve,False,variant_A_oracle,SMALL,pvac_style_prime,61,1.0091803278688523,1.7777049180327866,2.9508196721311477,1.3731147540983608,0.4926724231210936,0.1475409836065574,0.39650678030255554,27.89180327868853,,
improve,False,variant_B_gate,LARGE,genuine_prime,61,0.47540983606557374,0.8360655737704918,1.360655737704918,1.6721311475409837,0.23681351830583433,0.0680327868852459,0.2315236126300364,95.40983606557377,1.0,True
improve,False,variant_B_gate,LARGE,frozen_epicurus,61,0.4262295081967213,0.7704918032786885,1.2295081967213115,1.459016393442623,0.199527557408162,0.06147540983606557,0.2027925573891741,95.65573770491804,1.0,True
improve,False,variant_B_gate,LARGE,pvac_style_prime,61,0.39344262295081966,0.7704918032786885,1.1311475409836065,1.3442622950819672,0.19392683513675504,0.05655737704918033,0.19361549779707865,97.87704918032787,1.0,True
improve,False,variant_B_gate,MEDIUM,genuine_prime,61,0.45901639344262296,0.8360655737704918,1.278688524590164,1.0163934426229508,0.3535723615464994,0.0639344262295082,0.21742242091665134,47.456896551724135,0.5983533857376585,False
improve,False,variant_B_gate,MEDIUM,frozen_epicurus,61,0.4426229508196721,0.7213114754098361,1.1967213114754098,0.8524590163934426,0.3435540752351098,0.05983606557377049,0.1989373161701595,46.62068965517241,0.5983533857376585,False
